Anio,Mes,Precio_leche
2013,Sep,202.58
2013,Oct,201.5
2013,Nov,201.51
2013,Dic,199.43
2014,Ene,213.02
2014,Feb,219.03
2014,Mar,227.45
2014,Abr,232.47
2014,May,244.29
2014,Jun,243.44
2014,Jul,238.39
2014,Ago,237.56
2014,Sep,228.52
2014,Oct,223.89
2014,Nov,219.91
2014,Dic,217.72
2015,Ene,203.88
2015,Feb,203.61
2015,Mar,210.91
2015,Abr,216.61
2015,May,225.38
2015,Jun,226.02
2015,Jul,224.24
2015,Ago,215.76
2015,Sep,198.99
2015,Oct,191.04
2015,Nov,191.02
2015,Dic,186.00
2016,Ene,187.38
2016,Feb,193.25
2016,Mar,202.6
2016,Abr,214.01
2016,May,213.3
2016,Jun,214.38
2016,Jul,214.36
2016,Ago,211.15
2016,Sep,202.48
2016,Oct,199.67
2016,Nov,197.44
2016,Dic,197.41
2017,Ene,210.36
2017,Feb,215.36
2017,Mar,224.64
2017,Abr,229.73
2017,May,240.72
2017,Jun,238.65
2017,Jul,234.95
2017,Ago,234.62
2017,Sep,222.33
2017,Oct,217.45
2017,Nov,221.75
2017,Dic,216.23
2018,Ene,218.68
2018,Feb,222.25
2018,Mar,230.7
2018,Abr,236.85
2018,May,240.99
2018,Jun,241.09
2018,Jul,237.62
2018,Ago,234.95
2018,Sep,223.26
2018,Oct,220.02
2018,Nov,218.7
2018,Dic,216.55
2019,Ene,219.38
2019,Feb,225.76
2019,Mar,240.39
2019,Abr,252.26
2019,May,258.76
2019,Jun,266.96
2019,Jul,266.63
2019,Ago,266.37
2019,Sep,242.23
2019,Oct,243.44
2019,Nov,251.22
2019,Dic,253.86
2020,Ene,254.1
2020,Feb,270.15
2020,Mar,279.88
2020,Abr,316.25
2020,May,318.88
2020,Jun,315.76
2020,Jul,313.3
2020,Ago,309.44
2020,Sep,278.99
2020,Oct,274.32
2020,Nov,288.09
2020,Dic,287.29
2021,Ene,287.6
2021,Feb,295.24
