,Periodo
0,2014-01-01
1,2014-02-01
2,2014-03-01
3,2014-04-01
4,2014-05-01
5,2014-06-01
6,2014-07-01
7,2014-08-01
8,2014-09-01
9,2014-10-01
10,2014-11-01
11,2014-12-01
12,2015-01-01
13,2015-02-01
14,2015-03-01
15,2015-04-01
16,2015-05-01
17,2015-06-01
18,2015-07-01
19,2015-08-01
20,2015-09-01
21,2015-10-01
22,2015-11-01
23,2015-12-01
24,2016-01-01
25,2016-02-01
26,2016-03-01
27,2016-04-01
28,2016-05-01
29,2016-06-01
30,2016-07-01
31,2016-08-01
32,2016-09-01
33,2016-10-01
34,2016-11-01
35,2016-12-01
36,2017-01-01
37,2017-02-01
38,2017-03-01
39,2017-04-01
40,2017-05-01
41,2017-06-01
42,2017-07-01
43,2017-08-01
44,2017-09-01
45,2017-10-01
46,2017-11-01
47,2017-12-01
48,2018-01-01
49,2018-02-01
50,2018-03-01
51,2018-04-01
52,2018-05-01
53,2018-06-01
54,2018-07-01
55,2018-08-01
56,2018-09-01
57,2018-10-01
58,2018-11-01
59,2018-12-01
60,2019-01-01
61,2019-02-01
62,2019-03-01
63,2019-04-01
64,2019-05-01
65,2019-06-01
66,2019-07-01
67,2019-08-01
68,2019-09-01
69,2019-10-01
70,2019-11-01
71,2019-12-01
72,2020-01-01
73,2020-02-01
74,2020-03-01
75,2020-04-01
